"TopCatId","SubCatId","TopCat","SubCat"
"1","2","Двигатель","Двигатель в сборе"
"1","3","Двигатель","Головка блока цилиндров"
"1","4","Двигатель","Распределительный вал и шестерня привода"
"1","5","Двигатель","Коленчатый вал и поршни"
"1","6","Двигатель","Система смазки"
"1","80","Двигатель","Дополнительный привод"
"7","8","Управление двигателем - Зажигание","Система зажигания"
"9","10","Управление двигателем - топливная система","Воздушный фильтр, коллекторы и резонатор"
"9","11","Управление двигателем - топливная система","Управление дроссельной заслонкой"
"9","12","Управление двигателем - топливная система","Система впрыска"
"9","13","Управление двигателем - топливная система","Система подачи топлива"
"9","82","Управление двигателем - топливная система","Система впрыска дизельного двигателя"
"9","83","Управление двигателем - топливная система","Турбокомпрессор"
"9","93","Управление двигателем - топливная система","Карбюратор"
"9","98","Управление двигателем - топливная система","Топливная система (газ)"
"14","15","Система охлаждения","Радиатор, вентилятор и промежуточный охладитель"
"14","16","Система охлаждения","Насос и привод"
"14","17","Система охлаждения","Расширительный бачок и шланги"
"18","19","Система выпуска","Коллектор, трубки и глушители"
"18","20","Система выпуска","Система очистки отработавших газов"
"18","81","Система выпуска","Опоры и тепловая защита"
"21","22","Сцепление и привод сцепления","Педаль сцепления, тяги и гидропривод"
"21","23","Сцепление и привод сцепления","Сцепление и маховик"
"24","25","Механическая коробка переключения передач","Узел коробки передач и картер"
"24","26","Механическая коробка переключения передач","Тяги и рычаги управления переключением передач"
"24","27","Механическая коробка переключения передач","Шестерни, подшипники и сальники"
"28","29","Главная передача, приводные валы и оси","Передняя ось"
"28","30","Главная передача, приводные валы и оси","Задняя ось"
"28","87","Главная передача, приводные валы и оси","Карданный вал, межосевой дифференциал и раздаточная коробка"
"31","32","Подвеска","Передняя подвеска"
"31","33","Подвеска","Задняя подвеска"
"31","94","Подвеска","Система управления подвеской"
"34","35","Рулевое управление","Углы установки колес"
"34","36","Рулевое управление","Рулевой механизм"
"34","37","Рулевое управление","Рулевая колонка"
"34","38","Рулевое управление","Усилитель рулевого управления"
"34","85","Рулевое управление","Колеса"
"39","40","Тормоза","Гидравлическая тормозная система"
"39","41","Тормоза","Тормозные механизмы (колодки, диски и др.)"
"39","42","Тормоза","Педаль тормоза и усилитель"
"39","43","Тормоза","ABS или ABS/ESP"
"39","44","Тормоза","Стояночный тормоз"
"45","46","Электрооборудование автомобиля","Аккумуляторная батарея и проводка"
"45","47","Электрооборудование автомобиля","Система зарядки"
"45","48","Электрооборудование автомобиля","Система запуска"
"45","49","Электрооборудование автомобиля","Лампы и светодиоды"
"45","50","Электрооборудование автомобиля","Передние фары"
"45","51","Электрооборудование автомобиля","Задние фонари"
"45","52","Электрооборудование автомобиля","Лампы освещения салона"
"45","53","Электрооборудование автомобиля","Выключатели"
"45","54","Электрооборудование автомобиля","Приборы"
"45","55","Электрооборудование автомобиля","Датчики"
"45","56","Электрооборудование автомобиля","Предохранители и реле"
"45","57","Электрооборудование автомобиля","Электродвигатели"
"45","58","Электрооборудование автомобиля","Управление и аудиосистема"
"45","59","Электрооборудование автомобиля","Очистители/омыватели лобового стекла"
"45","60","Электрооборудование автомобиля","Очистители/омыватели заднего стекла"
"45","86","Электрооборудование автомобиля","Очистители/омыватели фар"
"45","97","Электрооборудование автомобиля","Программное обеспечение автомобиля"
"61","62","Кондиционер и отопитель","Отопитель и система вентиляции"
"61","63","Кондиционер и отопитель","Кондиционер"
"64","65","Передняя часть кузова","Передний бампер/спойлер"
"64","66","Передняя часть кузова","Передняя решетка"
"64","67","Передняя часть кузова","Капот"
"64","68","Передняя часть кузова","Передние крылья"
"64","69","Передняя часть кузова","Лобовое стекло"
"64","96","Передняя часть кузова","Передняя панель"
"70","71","Центральная часть кузова","Передняя дверь"
"70","72","Центральная часть кузова","Задняя боковая дверь"
"70","73","Центральная часть кузова","Внутренняя отделка/Сиденья/Ремни безопасности"
"70","74","Центральная часть кузова","Люк"
"70","95","Центральная часть кузова","Складывающаяся крыша (кабриолет/convertible)"
"75","76","Задняя часть кузова","Задний бампер"
"75","77","Задняя часть кузова","Задняя дверь"
"75","78","Задняя часть кузова","Заднее крыло"
"75","79","Задняя часть кузова","Заднее стекло"
"75","84","Задняя часть кузова","Крышка багажника"
"88","89","Автоматическая трансмиссия","Гидротрансформатор и пластина привода"
"88","90","Автоматическая трансмиссия","Автоматическая трансмиссия, картер и гидросистема"
"88","91","Автоматическая трансмиссия","Управление, регулятор и клапаны"
"88","92","Автоматическая трансмиссия","Шестерни, муфты и тормоза"
